003/Inst,001/BSN,OCLC number(s),245a/Title
LeBAU,b12517550,"784372817","al-Jāḥiẓ wa-fann al-qaṣaṣ fī kitabihi al-bukhalāʼ :"
LeBAU,b1251777x,"784373388","Nazl al-zawāj :"
LeBAU,b12517884,"784374112","Nushuʻ al-qiṣṣah wa-taṭawwuruha :"
LeBAU,b12519996,"784376629","Tahdhīb al-īḍāḥ :"
LeBAU,b12520779,"784377606","Qiss Wākfīld /"
LeBAU,b12521322,"784378554","Zaharāt manthūrah fī al-adab al-ʻArabī /"
LeBAU,b12521450,"784378644","al-Waṣf /"
LeBAU,b12521528,"784378721","al-Shiʻr al-ghināʼī fī al-amṣār al-Islāmīyah /"
LeBAU,b12521590,"784378792","Muḥāḍarāt ʻan al-shiʻr al-Fārisī wa-al-ḥaḍārah al-Islāmīyah fī Īrān /"
LeBAU,b12521711,"784378910","Sharḥ qaṣīdat Ibn bint al-Maylaq :"
LeBAU,b12533233,"784390641","Falsafat al-lughah al-ʻArabīyah wa-taṭawwuruhā :"
LeBAU,b12536684,"784393290","Dīwān Maḥmūd al-Ḥabbūbī."
LeBAU,b12536696,"784393291","Rubāʻīyāt al-Ḥabbūbī /"
LeBAU,b12536957,"784393347","Dīwān Badr al-Dīn al-Ḥāmid."
LeBAU,b12537111,"784393382","Min nabʻ al-ḥayāh /"
LeBAU,b12538607,"784394344","Ḥassān ibn Thābit /"
LeBAU,b1254274x,"784398094","Hayākil al-ḥubb /"
LeBAU,b12543068,"784398269","Dīwān Ilyās Fayyāḍ /"
LeBAU,b12543135,"784398304","ʻAbīr /"
LeBAU,b12543202,"784398346","Alḥānī /"
LeBAU,b12543329,"784398912","Dīwān al-Nafaḥāt /"
LeBAU,b12543524,"784399009","Dīwān amīr al-shiʻr wa-al-shuʻarāʼ al-shaʻbīyīn ʻAbbūd Ghaflah al-Shamartī."
LeBAU,b12552859,"784403841","Kalimah fī Aḥmad Shawqī /"
LeBAU,b12564813,"784408056","ʻĀqibat al-ẓulm :"
LeBAU,b12564850,"784408060","al-Ḥubb al-akhwaī :"
LeBAU,b12564886,"784408064","al-Qiddīsah Jān Dark :"
LeBAU,b12564928,"784408068","Thurayyā :"
LeBAU,b12565143,"784408092","Maysalūn :"
LeBAU,b12567644,"784408358","Thawrat ʻawāṭif :"
LeBAU,b12568284,"784408427","Duʻāʼ al-Karawān /"
LeBAU,b12568296,"784408428","Jannat al-ḥayawān /"
LeBAU,b12568387,"784408438","Qaryah ẓālimah /"
LeBAU,b12571866,"784409801","Maqāmāt Abī al-Faḍl Badīʻ al-Zamān al-Hamadhānī /"
LeBAU,b12571957,"784409821","Nadá al-fajr :"
LeBAU,b12578915,"784414766","Taʼammulāt fī al-falsafah wa-al-adab wa-al-siyāsah wa-al-ijtimāʻ /"
LeBAU,b12594520,"784422994","al-Ayyām /"
LeBAU,b12597685,"784423315","Mudhakkirāt dajājah /"
LeBAU,b12649594,"784449806","al-Miṣrīyūn al-muḥaddithūn :"
LeBAU,b1264979x,"784449833","Mudhakkirāt ʻan ziyārah ilá dayr Ṭūr Sīnā wa-ṭawāf bi-al-sayyārāt fī Ṣaḥrāʼ Shibh Jazīrat Sīnā fī shahr Yanāyir sanat 1926 /"
LeBAU,b12672166,"784456581","Falsafat al-tārīkh al-ʻUthmānī /"
LeBAU,b12678648,"784458382","al-Waḍʻ al-siyāsī wa-al-ijtimāʻī li-bilād Ḥawḍ al-Baḥr al-Mutawassiṭ /"
LeBAU,b12686736,"784462196","Mudhakkirāt safīr Amīrikā fī al-Asitānah :"
LeBAU,b12706474,"784471219","Ruwwād al-Sharq al-ʻArabī fī al-ʻuṣūr al-wuṣṭá /"
LeBAU,b12715864,"784477118","Afghānistān :"
LeBAU,b1271589x,"784477132","Khulāṣat tārīkh Tūnis :"
LeBAU,b12724129,"784482552","ʻAbd Allāh Jāk Minū wa-khurūj al-faransīyīn min Miṣr /"
LeBAU,b12724142,"784482558","al-Ḥudūd al-gharbīyah li-Miṣr :"
LeBAU,b12725444,"784484770","Ḥawlīyāt Miṣr al-siyāsīyah /"
LeBAU,b12725535,"784484860","al-Nīl fī ḍawʼ al-Qurʼān /"
LeBAU,b12725651,"784484976","Dawlat Banī Qalāwūn fī Miṣr :"
LeBAU,b12725730,"10940319","Aqbāṭ wa-Muslimūn mundhu al-fatḥ al-ʻArabī ilá ʻām 1922 M. /"
LeBAU,b12726102,"784485370","Tārīkh al-masʼalah al-Miṣrīyah, 1875-1910 /"
LeBAU,b12726461,"784485570","Tarīkh al-ʻaṣr al-ḥadīth :"
LeBAU,b12726473,"784485579","Injiltrā wa-Qanāt al-Suways, 1854-1951 /"
LeBAU,b12728524,"784487460","Mudhakkirāt Niqūlā Turk /"
LeBAU,b12728597,"784487518","Mudhakkirah bi-mā ṣadara ʻannā mundhu fajr al-ḥarakah al-waṭanīyah al-Miṣrīyah min sanat 1918 ilá sanat 1928 /"
LeBAU,b12728810,"784487656","al-Tārīkh al-ḥarbī li-ʻaṣr Muḥammad ʻAlī al-kabīr /"
LeBAU,b12731067,"784489333","al-Rīf baʻda al-fatḥ al-Islāmī /"
LeBAU,b12731729,"784489694","Tārīkh al-ʻālam al-jadīd /"
LeBAU,b1273178x,"784489736","al-Hunūd al-ḥumr /"
LeBAU,b1273195x,"784489795","Maḥkamat al-Shaʻb /"
LeBAU,b1273357x,"784491200","Tārīkh al-Jazāʼir al-ʻāmm :"
LeBAU,b12734913,"784491955","Nimr al siyāsah al-miṣrīyah /"
LeBAU,b12735504,"784492263","Tārīkh al-ʻaṣr al-ḥadīth :"
LeBAU,b12735735,"784492440","Ḥurūb al-arḍ wa-salāmuhā :"
