1934414	31924068913569	 	1938	ua 	1  Nawājī, Muḥammad ibn al-Ḥasan, 1386-1455.	10 Ḥalabat al-kumayt. 1966	10 Kitāb Ḥalabat al-kumayt : fī al-adab wa-al-nawādir wa-al-fikāhāt al-mutaʻalliqah bi-al-khamrīyāt / taʾlīf Shams al-Dīn Muḥammad ibn al-Ḥasan al-Nawājī.	   [Cairo] : Yuṭlabu min Zakī Mujāhid, 1938.		 0 Arabic literature History and criticism.| 0 Wine in literature.	PJ7519.W5 N32 1938	olin,anx				cornell_aco_0120
1935583	31924060270042	 	1970	iq 			03 al-Kanz al-lughawī fī al-lasan al-ʻArabī naqlan : ʻan nusakh qadīmah / saʻá fī nashrih wa-taʻlīq ḥawāshihi Ūghist Hafnar.	   Baghdād : Aʻādat ṭabʻahu bi-al-ūfsit Maktabat al-Muthanná, [1970?]	   Arabic or German.|   Vocalized text.|   Added t.p., in German: Texte zur arabischen Lexikographie.|   "Die Texte ... enthalten ... das Kitâb el-ʼibil' in zwei verschiedenen Redaktionen"--P. [iii]|   Preliminary pages incorrectly bound: [iii]-xiv.|   Reprint.  Originally published: Leipzig : Harrassowitz, 1905.|   Includes bibliographical references and indexes.|0  Kitāb al-qalb wa-al-ibdāl / ṣanʻat Abī Yūsuf Yaʻqūb ibn Isḥāq al-Sikkīt -- Kitāb al-ibil / ʻan al-Aṣmaʻī -- Kitāb khalq al-insān / taʼlīf Abī Saʻīd ʻAbd al-Malik ibn Qurayb al-Aṣmaʻī.	 0 Arabic language Lexicography.	PJ6601 .H13	olin,anx				cornell_aco_0121
2016491	31924072012119	 	1955	le 	1  Furayḥah, Anīs, 1903-		13 al-Lahajāt wa-uslūb dirāsatihā / taʾlīf Anīs Furayḥah.	   Bayrūt : Dār al-Jīl, 1955.	   Includes bibliographical references.	 0 Arabic language Dialects Lebanon.	PJ6810 .F98	olin,anx				cornell_aco_0124
2453870	31924074967021	 	1950	ua 	1  Elias, Elias A. (Elias Antoon)		13 al-Hadīyah al-sanīyah li-ṭullāb al-lughah al-Inkilizīyah = An Egyptian-Arabic manual for self-study / taʾlīf Iliās Anṭūn Iliās.	   Miṣr [Cairo] : al-Maṭbaʻah al-ʻAṣrīyah, [195-]	   Arabic and English.	 0 English language Textbooks for foreigners Arabic.	PE1130.A8 E42 1950	olin,anx				cornell_aco_0125
2462709	31924069917304	 	1954	le 			00 Petite introduction au parler libanais.	   Bikfaïa, Liban : C.R.E.A., 1950.		 0 Arabic language Dialects Lebanon.	PJ6810 .P48 195	olin,anx				cornell_aco_0126
2463117	31924073580593	 	1951	le 	1  Hava, J. G.		13 al-Farāʾid al-durrīyah fī al-lughatayn al-ʻArabīyah wa-al-Inkinlīzīyah = Arabic-English dictionary / J.G. Hava.	   Beirut : Catholic Press, [1951]	   Title page in Arabic charactes and English.	 0 Arabic language Dictionaries English.	PJ6640 .H38 1951	olin,anx				cornell_aco_0127
3146337	31924080924727	 	1950	le 	1  Gibran, Kahlil, 1883-1931.	10 Sand and foam. Arabic. 1950	10 Raml wa-zabad wa-al-mūsīqá / Jubrān Khalīl Jubrān ; ʻarrabahu Anṭūniyūs Bashīr.	   [Beirut : s.n., 195-?]	   Translation of: Sand and foam.		PJ7826.I14 S3 1950	olin,anx				cornell_aco_0132
3526713	31924026837173	 	1960	sy 	1  Kurdī, Aḥmad.		13 al-Shuʻarāʼ al-nawābigh, ʻarḍ, taḥlīl, dirāsah naqḍ, khaṣāʼiṣ. Imruʼ al-Qays, Aws ibn Ḥajar, Zuhayr ibn Abī Sulmā, al-Nābighah al-Dhubyānī [taʼlīf] Aḥmad al-Kurdī [wa] Aḥmad Muṭāʻ Qabbānī.	   [Dimashq? 196-?]	   Bibliography: p. 355-356.	00 Imruʼ al-Qays, 497-545.|00 Aws ibn Ḥajar, active 6th century.|00 Zuhayr ibn Abī Sulmá.|00 Nābighah al-Dhubyānī, active 6th century.	PJ7543 .K96	olin,anx				cornell_aco_0137
3530975	31924026880124	 	1937	ua 	1  Ḥusayn, Ṭāhā, 1889-1973.		10 Tajdīd dhikrá Abī al-ʻAlāʾ / taʾlīf Ṭāhā Ḥusayn.	   Miṣr : Maṭbaʻat al-Maʻārif, 1937.		00 Abū al-ʻAlāʾ al-Maʻarrī, 973-1057.	PJ7750.A16 Z87	olin,anx				cornell_aco_0150
3531464	31924026885230	v.4 	1953	ua 			10 Muʻjam alfāẓ al-Qurʼān al-Karīm.	   al-Qāhirah al-maṭbaʻah al-Amīrīyah [1953-	   Vol. 5 published by Dār al-katīb al-ʻArabī.|   At head of title: Majmaʻ al-lughah al-ʻArabīyah.|0  al-Juzʼ 1. al-hamzah-al-thāʼ- al--Juzʼ 2. al-jīm-al-dhāl- al--Juzʼ 3. al-rāʼ-al-sīn-al--Juzʼ 4. al-shīn-al-fāʼ, iʻdād Amīn al-Khūlī- al--Juzʼ 5. al-qāf- al-lām iʻdād Ḥamd̄ ʻAbd al-Qādir.	00 Qurʼan Glossaries, vocabularies, etc.	Oversize PJ6696.Z8 M23 +	olin,anx				cornell_aco_0153
3532292	31924026893374	 	1959	iq 	1  Miskūnī, Yūsuf Yaʻqūb.		10 Sibṭ ibn al-Taʻāwīdhī : min shuʻarāʼ al-ʻIrāq al-fuḥūl fī al-qarn al-sādis lil-Hijrah / bi-qalam Yūsuf Yaʻqūb Miskūnī.	   Baghdād : [s.n.], 1959 (Baghdād : Maṭbaʻat al-Shafīq)	   Cover title: Sibṭ ibn al-Taʼwithi.	10 Ibn al-Taʻāwīdhī, Muḥammad ibn ʻUbayd Allāh, 1125-1187 or 1188.	PJ7755.S56 A6 1959	olin,anx				cornell_aco_0159
3533209	31924026902472	v.1 	1952	ua 	1  Ḥusayn, Ṭāhā, 1889-1973.		00 Hadīth al-Arbaʻā.	   Cairo, Dār al-Maʻārif [1954-1957].		 0 Arabic literature.	PJ7515 .T12	olin,anx				cornell_aco_0161
3533209	31924026987721	v.2 	1952	ua 	1  Ḥusayn, Ṭāhā, 1889-1973.		00 Hadīth al-Arbaʻā.	   Cairo, Dār al-Maʻārif [1954-1957].		 0 Arabic literature.	PJ7515 .T12	olin,anx				cornell_aco_0162
3533209	31924026987739	v.3 	1952	ua 	1  Ḥusayn, Ṭāhā, 1889-1973.		00 Hadīth al-Arbaʻā.	   Cairo, Dār al-Maʻārif [1954-1957].		 0 Arabic literature.	PJ7515 .T12	olin,anx				cornell_aco_0163
3533688	31924026907307	 	1950	ua 	1  al-ʻAqīqī, Najīb.		10 Arḍ Allāh  : qiṣṣah / Najīb al-ʻAqīqī.	   Miṣr : Dār al-Maʻārif, [195-?]			PJ7814.Q66 A8	olin,anx				cornell_aco_0164
3536905	31924026939581	v.1 	1943	le 	1  Rustum, Asad, 1897-1965.		12 A calendar of state papers from the Royal Archives of Egypt relating to the affairs of Syria.	   Beirut, American Press, 1940-1943.	   In Arabic.|0  I. 1225-1247 A.H., 1810-1832 A.D.--II. 1248-1250 A.H., 1832-1835 A.D.--III. 1251-1254 A.H., 1835-1839 A.D.--IV. 1255-1256 A.H., 1839-1841 A.D.	 0 Syria History Sources.| 0 Archives Egypt.| 0 Syria Foreign relations Egypt.| 0 Egypt Foreign relations Syria.	Oversize PJ7819.S9 R97 +	olin,anx				cornell_aco_0167
